SampleID	Type	Group
P009	facultative	group1
P026	facultative	group2
P027	facultative	group1
P028	facultative	group2
P031	facultative	group1
P046	facultative	group2
P056	facultative	group1
P057	facultative	group2
P071	facultative	group1
P072	facultative	group2
P079	facultative	group1
P080	facultative	group2
P081	facultative	group1
P084	facultative	group2
P144	facultative	group1
P145	facultative	group2
P149	facultative	group1
P154	facultative	group2
P156	facultative	group1
P170	facultative	group2
P177	facultative	group1
P182	facultative	group2
P183	facultative	group1
P184	facultative	group2
P187	facultative	group1
P197	facultative	group2
P201	facultative	group1
P208	facultative	group2
P209	facultative	group1
P210	facultative	group2
P221	facultative	group1
P223	facultative	group2
P225	facultative	group1
P226	facultative	group2
P229	facultative	group1
P232	facultative	group2
P233	facultative	group1
P234	facultative	group2
P235	facultative	group1
P236	facultative	group2
P237	facultative	group1
P239	facultative	group2
P241	facultative	group1
P242	facultative	group2
P417	facultative	group1
P418	facultative	group2
P439	facultative	group1
P440	facultative	group2
P441	facultative	group1
P442	facultative	group2
P525	facultative	group1
P526	facultative	group2
P540	facultative	group1
P552	facultative	group2
P553	facultative	group1
P556	facultative	group2
P557	facultative	group1
P559	facultative	group2
P561	facultative	group1
P562	facultative	group2
P571	facultative	group1
P572	facultative	group2
P577	facultative	group1
P578	facultative	group2
P579	facultative	group1
P580	facultative	group2
P584	facultative	group1
P585	facultative	group2
P647	facultative	group1
P654	facultative	group2
P655	facultative	group1
P659	facultative	group2
P660	facultative	group1
P661	facultative	group2
P662	facultative	group1
P665	facultative	group2
P670	facultative	group1
P671	facultative	group2
P675	facultative	group1
P676	facultative	group2
P677	facultative	group1
P678	facultative	group2
P679	facultative	group1
P682	facultative	group2
P684	facultative	group1
P686	facultative	group2
P687	facultative	group1
P688	facultative	group2
P689	facultative	group1
P693	facultative	group2
P694	facultative	group1
P718	facultative	group2
P736	facultative	group1
P744	facultative	group2
P783	facultative	group1
P784	facultative	group2
P785	facultative	group1
P786	facultative	group2
P787	facultative	group1
P788	facultative	group2
P789	facultative	group1
P790	facultative	group2
P807	facultative	group1
P818	facultative	group2
P819	facultative	group1
P820	facultative	group2
P821	facultative	group1
P822	facultative	group2
P823	facultative	group1
P824	facultative	group2
P825	facultative	group1
P826	facultative	group2
P827	facultative	group1
P828	facultative	group2
P829	facultative	group1
P830	facultative	group2
P831	facultative	group1
P832	facultative	group2
P833	facultative	group1
P834	facultative	group2
P835	facultative	group1
P836	facultative	group2
P837	facultative	group1
P838	facultative	group2
P839	facultative	group1
P840	facultative	group2
P841	facultative	group1
P842	facultative	group2
P849	facultative	group1
P850	facultative	group2
P852	facultative	group1
P853	facultative	group2
P854	facultative	group1
P855	facultative	group2
P860	facultative	group1
P861	facultative	group2
P863	facultative	group1
P864	facultative	group2
P865	facultative	group1
P866	facultative	group2
P867	facultative	group1
P868	facultative	group2
P869	facultative	group1
P870	facultative	group2
P871	facultative	group1
P872	facultative	group2
P873	facultative	group1
P874	facultative	group2
P875	facultative	group1
P876	facultative	group2
P877	facultative	group1
P878	facultative	group2
P879	facultative	group1
P880	facultative	group2
P881	facultative	group1
P882	facultative	group2
P883	facultative	group1
P884	facultative	group2
P885	facultative	group1
P886	facultative	group2
P887	facultative	group1
P888	facultative	group2
P889	facultative	group1
P890	facultative	group2
P891	facultative	group1
P892	facultative	group2
P893	facultative	group1
P894	facultative	group2
P895	facultative	group1
P896	facultative	group2
P897	facultative	group1
P898	facultative	group2
P899	facultative	group1
P900	facultative	group2
P901	facultative	group1
P902	facultative	group2
P903	facultative	group1
P904	facultative	group2
P905	facultative	group1
P906	facultative	group2
P907	facultative	group1
P908	facultative	group2
P909	facultative	group1
P910	facultative	group2
P911	facultative	group1
P912	facultative	group2
P913	facultative	group1
P914	facultative	group2
P915	facultative	group1
P916	facultative	group2
P917	facultative	group1
P918	facultative	group2
P919	facultative	group1
P920	facultative	group2
P921	facultative	group1
P922	facultative	group2
P923	facultative	group1
P924	facultative	group2
P925	facultative	group1
P926	facultative	group2
P927	facultative	group1
P928	facultative	group2
P929	facultative	group1
P930	facultative	group2
P931	facultative	group1
P932	facultative	group2
P933	facultative	group1
P934	facultative	group2
P935	facultative	group1
P936	facultative	group2
P937	facultative	group1
P938	facultative	group2
P939	facultative	group1
P940	facultative	group2
P941	facultative	group1
P942	facultative	group2
P943	facultative	group1
P944	facultative	group2
P945	facultative	group1
P946	facultative	group2
P947	facultative	group1
P948	facultative	group2
P949	facultative	group1
P950	facultative	group2
P951	facultative	group1
P952	facultative	group2
P953	facultative	group1
P954	facultative	group2
P955	facultative	group1
P956	facultative	group2
P957	facultative	group1
P958	facultative	group2
P959	facultative	group1
P960	facultative	group2
P961	facultative	group1
P962	facultative	group2
P963	facultative	group1
P964	facultative	group2
P965	facultative	group1
P966	facultative	group2
P967	facultative	group1
P968	facultative	group2
P969	facultative	group1
P970	facultative	group2
P971	facultative	group1
P972	facultative	group2
P973	facultative	group1
P974	facultative	group2
P975	facultative	group1
P976	facultative	group2
P977	facultative	group1
