	aerobe	anaerobe	facultative	MeanDecreaseAccuracy	MeanDecreaseGini
NRDD	0.00612046401765148	0.00364507208777802	0.00245364905355647	0.0040694280085489	4.48280568142959
PFL-like	0.00548203301718252	0.000479403517587298	0.00140050877942384	0.00246118139579438	1.67391686480273
COX1	0.00527880203950531	0.0085195089633489	0.0036817495870315	0.00581396831864936	4.98324063246337
Gly_radical	0.00527716876265056	9.48714366399774e-05	0.002450208080423	0.00260855230339679	1.84098701309007
Aldedh	0.00416289293210726	0.00963811623548996	0.00238226360963139	0.0053931984865011	4.42324468125952
Abhydrolase_1	0.00398722740224718	0.00294348837679712	0.000495277874524652	0.00247407827863728	2.50022149196973
2-oxoacid_dh	0.00380337304352293	0.00918554365277669	0.00264060872205261	0.00520567551173494	5.88498576045908
COX3	0.00378778804701138	0.00947460608143026	0.00243753453749799	0.00523605769469536	4.59105524061133
Biotin_lipoyl	0.00378715130716795	0.010099313473812	0.00203299071377091	0.00533730853490959	5.77952598776527
FA_desaturase	0.00373429831656223	0.00501866823770126	0.000522893617426303	0.00307225913538086	2.51762543016849
FeoB_Cyto	0.00325872933628427	0.00119484785415664	0.00128519890580805	0.00189172526385055	1.44346724596315
Bac_luciferase	0.0032168907829791	0.0107153863928569	0.00202296902258281	0.00526730283448622	3.67699775556781
ClpS	0.00308013596492298	0.00239172692579432	0.00110605256169585	0.00219311283443764	1.79051612965024
5TM-5TMR_LYT	0.00307996254142188	0.00256640556026332	0.00636572432163056	0.00398262606783109	4.85253377667812
Fe-S_biosyn	0.00305811826542632	0.00512053568382956	0.00200861034546981	0.00339803973680023	2.67079521361743
Acyl-CoA_dh_M	0.00295721927439386	0.00289021217799788	0.000541838922484548	0.00212469097709327	2.14623869467682
adh_short	0.00293959648416011	0.0030116822669769	0.00102721046763323	0.00232427525504495	2.12996565315483
FAD_binding_3	0.00275730623739729	0.00678659184593989	0.00235811125376446	0.00399321067308081	3.25336947181647
E3_binding	0.0027048880244969	0.0083457718760445	0.00230613630563471	0.0044587051471255	4.22299064493701
YceI	0.00252038599009939	0.0133795881625024	0.00304644568417659	0.00632881804442877	5.34159400549115
HGD-D	0.0022030974419539	0.00148882807153858	0.000583292159043331	0.00142475813534208	1.0112660395731
adh_short_C2	0.00219457147550786	0.00332665372380825	0.00184816833949571	0.00244004290894448	2.06071217492794
Rieske	0.00219021561120876	0.00371065526419582	0.00104925847730727	0.00232568577354259	1.6187570671839
DAO	0.0021638849527221	0.00627216343337217	0.00236333568704471	0.00361496027233488	3.23310864816812
DUF2229	0.0021380443979737	0.0011479466774627	0.000202383239745779	0.00115594940629537	0.876581177513036
Glyoxalase	0.0021080602895264	0.00731492056812216	0.00159706450445603	0.00364656638777119	2.69237382507045
PTS_EIIB	0.00203621198272644	0.000350422876131393	0.00356971715796369	0.00198235163173303	1.30665965123144
Acyl-CoA_dh_N	0.00203051556154692	0.000868078329105425	0.000413062606976524	0.00110601966118148	1.25786156738641
EKR	0.00185722686024048	0.000812336009725078	3.86601507804038e-05	0.000897573001283345	0.711041381033547
OxoGdeHyase_C	0.00185130082438852	0.00545993928405472	0.00170272155837855	0.00300863289522274	3.3402242525009
ACAS_N	0.00179577957269744	0.0018917277133952	0.00107795427546562	0.00158749516766904	1.05194876147699
Acyl-CoA_dh_1	0.00171560929503743	0.00119012357515082	0.000195329504235313	0.00102666684616744	0.984151726075509
SCO1-SenC	0.00171346454085952	0.00375615872168469	0.000672408240789942	0.00203453052582994	1.99299599212591
